,0,1,2
687,247,247,247
688,247,247,247
689,247,247,247
690,247,247,247
691,247,247,247
692,247,247,247
693,247,247,247
694,247,247,247
695,247,247,247
696,247,247,247
697,247,247,247
698,247,247,247
699,247,247,247
700,247,247,247
701,247,247,247
702,247,247,247
703,247,247,247
704,247,247,247
705,247,247,247
706,247,247,247
707,247,247,247
708,247,247,247
709,247,247,247
710,247,247,247
711,247,247,247
712,247,247,247
713,247,247,247
714,247,247,247
715,247,247,247
716,247,247,247
717,247,247,247
718,247,247,247
719,247,247,247
720,247,247,247
721,247,247,247
722,247,247,247
723,247,247,247
724,247,247,247
725,247,247,247
726,247,247,247
727,247,247,247
728,247,247,247
729,246,246,246
730,246,246,246
731,246,246,246
732,246,246,246
733,246,246,246
734,246,246,246
735,246,246,246
736,246,246,246
737,246,246,246
738,246,246,246
739,246,246,246
740,246,246,246
741,246,246,246
742,246,246,246
743,246,246,246
744,246,246,246
745,246,246,246
746,246,246,246
747,246,246,246
748,247,247,247
749,247,247,247
750,247,247,247
751,247,247,247
752,247,247,247
753,247,247,247
754,247,247,247
755,247,247,247
756,247,247,247
757,247,247,247
758,247,247,247
759,247,247,247
760,247,247,247
761,247,247,247
762,247,247,247
763,247,247,247
764,247,247,247
765,247,247,247
766,247,247,247
767,247,247,247
768,247,247,247
769,247,247,247
770,247,247,247
771,247,247,247
772,247,247,247
773,247,247,247
774,247,247,247
775,247,247,247
776,247,247,247
777,247,247,247
778,247,247,247
779,247,247,247
780,247,247,247
781,247,247,247
782,247,247,247
783,247,247,247
784,247,247,247
785,247,247,247
786,247,247,247
787,247,247,247
788,247,247,247
789,247,247,247
790,247,247,247
791,247,247,247
792,247,247,247
793,247,247,247
794,247,247,247
795,247,247,247
796,247,247,247
797,247,247,247
798,247,247,247
799,247,247,247
800,247,247,247
801,247,247,247
802,247,247,247
803,247,247,247
804,247,247,247
805,247,247,247
806,247,247,247
807,247,247,247
808,247,247,247
809,247,247,247
810,247,247,247
811,247,247,247
812,247,247,247
813,247,247,247
814,247,247,247
815,247,247,247
816,247,247,247
817,247,247,247
818,247,247,247
819,247,247,247
820,247,247,247
821,247,247,247
822,247,247,247
823,247,247,247
824,247,247,247
825,247,247,247
826,247,247,247
827,247,247,247
828,247,247,247
829,247,247,247
830,247,247,247
831,247,247,247
832,247,247,247
833,247,247,247
834,247,247,247
835,247,247,247
836,247,247,247
837,247,247,247
838,247,247,247
839,247,247,247
840,247,247,247
841,247,247,247
842,247,247,247
843,247,247,247
844,247,247,247
845,247,247,247
846,247,247,247
847,247,247,247
848,247,247,247
849,247,247,247
850,247,247,247
851,247,247,247
852,247,247,247
853,247,247,247
854,247,247,247
855,247,247,247
856,247,247,247
857,247,247,247
858,247,247,247
859,247,247,247
860,247,247,247
861,247,247,247
862,247,247,247
863,247,247,247
864,247,247,247
865,247,247,247
866,247,247,247
867,247,247,247
868,247,247,247
869,247,247,247
870,246,246,246
871,246,246,246
872,246,246,246
873,247,247,247
874,247,247,247
875,247,247,247
876,247,247,247
877,247,247,247
878,247,247,247
879,247,247,247
880,247,247,247
881,247,247,247
882,247,247,247
883,247,247,247
884,247,247,247
885,247,247,247
886,247,247,247
887,247,247,247
888,247,247,247
889,247,247,247
890,247,247,247
891,247,247,247
892,247,247,247
893,247,247,247
894,247,247,247
895,247,247,247
896,247,247,247
897,247,247,247
898,247,247,247
899,247,247,247
900,247,247,247
901,247,247,247
902,247,247,247
903,247,247,247
904,247,247,247
905,247,247,247
906,247,247,247
907,247,247,247
908,247,247,247
909,247,247,247
910,247,247,247
911,247,247,247
912,247,247,247
913,247,247,247
914,247,247,247
915,247,247,247
916,247,247,247
917,247,247,247
918,247,247,247
919,247,247,247
920,247,247,247
921,247,247,247
922,247,247,247
923,247,247,247
924,247,247,247
925,247,247,247
926,247,247,247
927,247,247,247
928,247,247,247
929,247,247,247
930,247,247,247
931,247,247,247
932,247,247,247
933,247,247,247
934,247,247,247
935,247,247,247
936,247,247,247
937,247,247,247
938,247,247,247
939,247,247,247
940,247,247,247
941,247,247,247
942,247,247,247
943,247,247,247
944,247,247,247
945,247,247,247
946,247,247,247
947,247,247,247
948,247,247,247
949,247,247,247
950,247,247,247
